[07/Nov/2018:09:42:57 +0800] 0:0:0:0:0:0:0:1 "GET /test1 HTTP/1.1" 200 - (5 ms)
[07/Nov/2018:09:42:57 +0800] 0:0:0:0:0:0:0:1 "GET /favicon.ico HTTP/1.1" 200 - (5 ms)
[07/Nov/2018:09:42:57 +0800] 0:0:0:0:0:0:0:1 "GET /test1 HTTP/1.1" 200 - (4 ms)
[07/Nov/2018:09:42:57 +0800] 0:0:0:0:0:0:0:1 "GET /favicon.ico HTTP/1.1" 200 - (4 ms)
[07/Nov/2018:09:42:57 +0800] 0:0:0:0:0:0:0:1 "GET /test1 HTTP/1.1" 200 - (4 ms)
[07/Nov/2018:09:42:57 +0800] 0:0:0:0:0:0:0:1 "GET /favicon.ico HTTP/1.1" 200 - (12 ms)
[07/Nov/2018:09:42:57 +0800] 0:0:0:0:0:0:0:1 "GET /test1 HTTP/1.1" 200 - (4 ms)
[07/Nov/2018:09:42:57 +0800] 0:0:0:0:0:0:0:1 "GET /favicon.ico HTTP/1.1" 200 - (7 ms)
[07/Nov/2018:09:42:57 +0800] 0:0:0:0:0:0:0:1 "GET /test1 HTTP/1.1" 200 - (3 ms)
[07/Nov/2018:09:42:57 +0800] 0:0:0:0:0:0:0:1 "GET /favicon.ico HTTP/1.1" 200 - (4 ms)
[07/Nov/2018:09:42:58 +0800] 0:0:0:0:0:0:0:1 "GET /test1 HTTP/1.1" 200 - (3 ms)
[07/Nov/2018:09:42:58 +0800] 0:0:0:0:0:0:0:1 "GET /favicon.ico HTTP/1.1" 200 - (4 ms)
[07/Nov/2018:09:42:58 +0800] 0:0:0:0:0:0:0:1 "GET /test1 HTTP/1.1" 200 - (3 ms)
[07/Nov/2018:09:42:58 +0800] 0:0:0:0:0:0:0:1 "GET /favicon.ico HTTP/1.1" 200 - (8 ms)
[07/Nov/2018:09:42:59 +0800] 0:0:0:0:0:0:0:1 "GET /test1 HTTP/1.1" 200 - (5 ms)
[07/Nov/2018:09:42:59 +0800] 0:0:0:0:0:0:0:1 "GET /favicon.ico HTTP/1.1" 200 - (7 ms)
[07/Nov/2018:09:45:42 +0800] 0:0:0:0:0:0:0:1 "GET /test1 HTTP/1.1" 200 - (6 ms)
